Country Name,Date,Total Population,Mobile subscribers,Health:mortality under-5,Internet users per 100 people,GDP per capita,Mobile subscribers per capita,log(GDP per capita),log(Health:mortality under-5),Region
Rwanda,7/1/2010,10624005,3548761,91,13,529,0.334032,6.270988,4.510860,Africa
Burkina Faso,7/1/2010,16468714,5707850,176,1,536,0.346587,6.284134,5.170484,Africa
Guinea-Bissau,7/1/2010,1515224,594100,150,2,551,0.392087,6.311735,5.010635,Africa
Zimbabwe,7/1/2010,12571454,7700000,80,12,595,0.612499,6.388561,4.382027,Africa
"Gambia, The",7/1/2010,1728394,1478347,98,9,608,0.855330,6.410175,4.584967,Africa
Mali,7/1/2010,15369809,7440383,178,3,613,0.484091,6.418365,5.181784,Africa
Comoros,7/1/2010,734750,165278,86,5,736,0.224945,6.601230,4.454347,Africa
Benin,7/1/2010,8849892,7074914,115,3,741,0.799435,6.608001,4.744932,Africa
Chad,7/1/2010,11227208,2675330,173,2,761,0.238290,6.634633,5.153292,Africa
Kenya,7/1/2010,40512682,24968891,85,26,795,0.616323,6.678342,4.442651,Africa
Lesotho,7/1/2010,2171318,987448,85,4,1004,0.454769,6.911747,4.442651,Africa
Senegal,7/1/2010,12433728,8343717,75,16,1034,0.671055,6.941190,4.317488,Africa
Mauritania,7/1/2010,3459773,2744978,111,3,1045,0.793398,6.951772,4.709530,Africa
Cameroon,7/1/2010,19598889,8636652,136,4,1147,0.440670,7.044905,4.912655,Africa
Cote d'Ivoire,7/1/2010,19737800,15026810,123,3,1161,0.761321,7.057037,4.812184,Africa
Sao Tome and Principe,7/1/2010,165397,102497,80,19,1215,0.619703,7.102499,4.382027,Africa
Nigeria,7/1/2010,158423182,87297789,143,28,1242,0.551042,7.124478,4.962845,Africa
Zambia,7/1/2010,12926409,5446991,111,10,1253,0.421385,7.133296,4.709530,Africa
Ghana,7/1/2010,24391823,17436949,74,10,1319,0.714869,7.184629,4.304065,Africa
"Egypt, Arab Rep.",7/1/2010,81121077,70661005,22,27,2698,0.871056,7.900266,3.091042,Africa
Morocco,7/1/2010,31951412,31982279,36,49,2795,1.000966,7.935587,3.583519,Africa
"Congo, Rep.",7/1/2010,4042899,3798619,93,5,2970,0.939578,7.996317,4.532599,Africa
Cape Verde,7/1/2010,495999,371871,36,30,3345,0.749741,8.115222,3.583519,Africa
Swaziland,7/1/2010,1055506,732700,78,9,3503,0.694169,8.161375,4.356709,Africa
Tunisia,7/1/2010,10549100,11114206,16,37,4194,1.053569,8.341410,2.772589,Africa
Angola,7/1/2010,19081912,8909200,161,10,4322,0.466892,8.371474,5.081404,Africa
Algeria,7/1/2010,35468208,32780165,36,13,4567,0.924213,8.426612,3.583519,Africa
Namibia,7/1/2010,2283289,1534528,40,7,4876,0.672069,8.492080,3.688879,Africa
South Africa,7/1/2010,49991300,50372000,57,12,7272,1.007615,8.891787,4.043051,Africa
Botswana,7/1/2010,2006945,2363411,48,6,7427,1.177616,8.912877,3.871201,Africa
Mauritius,7/1/2010,1280924,1190900,15,29,7584,0.929719,8.933796,2.708050,Africa
Gabon,7/1/2010,1505463,1610000,74,7,8768,1.069438,9.078864,4.304065,Africa
Seychelles,7/1/2010,86525,117587,14,41,11130,1.358995,9.317399,2.639057,Africa
Equatorial Guinea,7/1/2010,700401,399290,121,6,20703,0.570088,9.938034,4.795791,Africa
Brunei Darussalam,7/1/2010,398920,435104,7,50,31008,1.090705,10.342001,1.945910,Asia
Singapore,7/1/2010,5076700,7384600,3,71,41987,1.454606,10.645115,1.098612,Asia
Japan,7/1/2010,127450459,120708670,3,78,43063,0.947103,10.670419,1.098612,Asia
Afghanistan,7/1/2010,34385068,13000000,149,4,501,0.378071,6.216606,5.003946,Asia
Nepal,7/1/2010,29959364,9195562,50,8,535,0.306934,6.282267,3.912023,Asia
Bangladesh,7/1/2010,148692131,68650000,48,4,675,0.461692,6.514713,3.871201,Asia
Timor-Leste,7/1/2010,1142502,600600,81,0,766,0.525688,6.641182,4.394449,Asia
Cambodia,7/1/2010,14138255,8150764,51,1,795,0.576504,6.678342,3.931826,Asia
Tajikistan,7/1/2010,6878637,5940842,63,12,820,0.863666,6.709304,4.143135,Asia
Kyrgyz Republic,7/1/2010,5447900,5275477,38,20,880,0.968351,6.779922,3.637586,Asia
Pakistan,7/1/2010,173593383,99185844,87,17,1019,0.571369,6.926577,4.465908,Asia
Lao PDR,7/1/2010,6200894,4003395,54,7,1158,0.645616,7.054450,3.988984,Asia
Vietnam,7/1/2010,86927700,154000000,23,28,1224,1.771587,7.109879,3.135494,Asia
India,7/1/2010,1224614327,752190000,63,8,1375,0.614226,7.226209,4.143135,Asia
Uzbekistan,7/1/2010,28562400,20952000,52,19,1377,0.733552,7.227662,3.951244,Asia
Bhutan,7/1/2010,725940,394316,56,14,2088,0.543180,7.643962,4.025352,Asia
Philippines,7/1/2010,93260798,79895646,29,25,2140,0.856691,7.668561,3.367296,Asia
Mongolia,7/1/2010,2756001,2510470,32,13,2250,0.910910,7.718685,3.465736,Asia
Sri Lanka,7/1/2010,20653000,17359312,17,12,2400,0.840523,7.783224,2.833213,Asia
Georgia,7/1/2010,4452800,3980000,22,26,2614,0.893820,7.868637,3.091042,Asia
Indonesia,7/1/2010,239870937,220000000,35,10,2952,0.917160,7.990238,3.555348,Asia
Armenia,7/1/2010,3092072,3865354,20,44,3031,1.250085,8.016648,2.995732,Asia
Turkmenistan,7/1/2010,5041995,3197624,56,2,3967,0.634198,8.285765,4.025352,Asia
China,7/1/2010,1337825000,859003000,18,34,4433,0.642089,8.396832,2.890372,Asia
Thailand,7/1/2010,69122234,71624172,13,21,4614,1.036196,8.436850,2.564949,Asia
Azerbaijan,7/1/2010,9054332,9100113,46,47,5843,1.005056,8.673000,3.828641,Asia
Maldives,7/1/2010,315885,494351,15,28,6570,1.564971,8.790269,2.708050,Asia
Malaysia,7/1/2010,28401017,33859000,6,56,8373,1.192176,9.032768,1.791759,Asia
Kazakhstan,7/1/2010,16323287,19402600,33,33,9070,1.188645,9.112728,3.496508,Asia
"Korea, Rep.",7/1/2010,49410000,50767241,5,82,20540,1.027469,9.930129,1.609438,Asia
Slovenia,7/1/2010,2048583,2121950,3,69,22898,1.035814,10.038805,1.098612,Europe
Greece,7/1/2010,11315508,12292716,4,45,26433,1.086360,10.182369,1.386294,Europe
Cyprus,7/1/2010,1103647,1034071,4,53,28779,0.936958,10.267401,1.386294,Europe
Spain,7/1/2010,46070971,51601028,5,66,30026,1.120033,10.309819,1.609438,Europe
Italy,7/1/2010,60483385,90605000,4,54,33788,1.498015,10.427861,1.386294,Europe
United Kingdom,7/1/2010,62231336,81115492,5,85,36186,1.303451,10.496428,1.609438,Europe
France,7/1/2010,65075569,63200000,4,77,39170,0.971179,10.575666,1.386294,Europe
Iceland,7/1/2010,318041,341077,2,96,39463,1.072431,10.583119,0.693147,Europe
Germany,7/1/2010,81776930,104560000,4,83,39852,1.278600,10.592928,1.386294,Europe
Belgium,7/1/2010,10895785,12154041,4,74,42833,1.115481,10.665064,1.386294,Europe
Finland,7/1/2010,5363352,8390000,3,87,44091,1.564320,10.694011,1.098612,Europe
Austria,7/1/2010,8389771,12241000,4,73,44885,1.459039,10.711859,1.386294,Europe
Ireland,7/1/2010,4474356,4701474,4,70,45873,1.050760,10.733632,1.386294,Europe
Netherlands,7/1/2010,16615394,19179000,4,91,46597,1.154291,10.749291,1.386294,Europe
Sweden,7/1/2010,9378126,10885406,3,90,49257,1.160723,10.804807,1.098612,Europe
Denmark,7/1/2010,5547683,6922468,4,89,56278,1.247812,10.938059,1.386294,Europe
Switzerland,7/1/2010,7826153,9527000,5,82,67644,1.217329,11.122014,1.609438,Europe
Norway,7/1/2010,4889252,5648673,3,93,85443,1.155325,11.355605,1.098612,Europe
Luxembourg,7/1/2010,506953,727000,3,90,104512,1.434058,11.557057,1.098612,Europe
Moldova,7/1/2010,3562062,3165052,19,40,1632,0.888545,7.397562,2.944439,Europe
Ukraine,7/1/2010,45870700,53919545,13,45,2974,1.175468,7.997663,2.564949,Europe
Albania,7/1/2010,3204284,4547807,18,45,3701,1.419290,8.216358,2.890372,Europe
Bosnia and Herzegovina,7/1/2010,3760149,3110233,8,52,4427,0.827157,8.395477,2.079442,Europe
"Macedonia, FYR",7/1/2010,2060563,2153425,12,52,4434,1.045066,8.397057,2.484907,Europe
Serbia,7/1/2010,7291436,9915348,7,43,5273,1.359862,8.570355,1.945910,Europe
Belarus,7/1/2010,9490000,10332900,6,32,5819,1.088820,8.668884,1.791759,Europe
Bulgaria,7/1/2010,7534289,10199942,13,46,6335,1.353803,8.753845,2.564949,Europe
Montenegro,7/1/2010,631490,1170000,8,52,6510,1.852761,8.781095,2.079442,Europe
Romania,7/1/2010,21438001,24640000,14,40,7539,1.149361,8.927845,2.639057,Europe
Turkey,7/1/2010,72752325,61769635,18,40,10050,0.849040,9.215328,2.890372,Europe
Russian Federation,7/1/2010,141920000,237689224,12,43,10481,1.674811,9.257319,2.484907,Europe
Latvia,7/1/2010,2239008,2306100,10,72,10723,1.029965,9.280146,2.302585,Europe
Lithuania,7/1/2010,3286820,4890979,7,63,11046,1.488058,9.309824,1.945910,Europe
Poland,7/1/2010,38183683,46952111,6,62,12303,1.229638,9.417598,1.791759,Europe
Hungary,7/1/2010,10000023,12011823,6,65,12863,1.201180,9.462110,1.791759,Europe
Croatia,7/1/2010,4418000,6362106,6,60,13774,1.440042,9.530538,1.791759,Europe
